t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
167195,MANUAL,IDLE,0,170.0,176.4,1,-6.42,-5.50,0.00,14.74,9.24,0,9,9,100,100,0.8576,0.0307,14.9737,0,0,0.0
168195,MANUAL,IDLE,0,170.0,174.7,1,-4.67,-4.01,0.00,18.53,14.53,0,15,15,100,100,0.8576,0.0307,14.9737,0,0,0.0
169195,MANUAL,IDLE,0,170.0,172.5,1,-2.49,-2.13,0.00,23.26,21.12,0,21,21,100,100,0.8576,0.0307,14.9737,0,0,0.0
170195,MANUAL,IDLE,0,170.0,170.3,1,-0.27,-0.23,0.00,26.55,26.32,0,26,26,100,100,0.8576,0.0307,14.9737,0,0,0.0
171195,MANUAL,IDLE,0,170.0,167.9,1,2.13,1.82,0.07,29.68,31.57,0,32,32,100,100,0.8576,0.0307,14.9737,0,0,0.0
172195,MANUAL,IDLE,0,170.0,165.3,1,4.74,4.07,0.21,32.85,37.13,0,37,37,100,100,0.8576,0.0307,14.9737,0,0,0.0
173195,MANUAL,IDLE,0,170.0,162.5,1,7.53,6.46,0.44,35.79,42.69,0,43,43,100,100,0.8576,0.0307,14.9737,0,0,0.0
174195,MANUAL,IDLE,0,170.0,159.5,1,10.47,8.98,0.76,38.54,48.28,0,48,48,100,100,0.8576,0.0307,14.9737,0,0,0.0
175195,MANUAL,IDLE,0,170.0,156.6,1,13.37,11.47,1.17,40.19,52.83,0,53,53,100,100,0.8576,0.0307,14.9737,0,0,0.0
176195,MANUAL,IDLE,0,170.0,153.7,1,16.32,13.99,1.67,41.50,57.17,0,57,57,100,100,0.8576,0.0307,14.9737,0,0,0.0
177195,MANUAL,IDLE,0,170.0,150.8,1,19.18,16.45,2.26,41.94,60.65,0,61,61,100,100,0.8576,0.0307,14.9737,0,0,0.0
178198,MANUAL,IDLE,0,170.0,148.0,1,22.04,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
179195,MANUAL,IDLE,0,170.0,145.3,1,24.72,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
180195,MANUAL,IDLE,0,170.0,142.8,1,27.24,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
181195,MANUAL,IDLE,0,170.0,140.5,1,29.51,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
182195,MANUAL,IDLE,0,170.0,138.3,1,31.71,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
183195,MANUAL,IDLE,0,170.0,136.4,1,33.55,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
184195,MANUAL,IDLE,0,170.0,134.5,1,35.48,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
185195,MANUAL,IDLE,0,170.0,132.6,1,37.38,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,1,141.5
186196,MANUAL,IDLE,0,170.0,130.9,1,39.11,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,1,141.5
187195,MANUAL,IDLE,0,170.0,129.0,1,12.50,10.72,0.38,28.70,39.81,0,40,40,100,100,0.8576,0.0307,14.9737,0,1,141.5
188195,MANUAL,IDLE,0,170.0,127.1,1,14.47,12.41,0.83,28.96,42.20,0,42,42,100,100,0.8576,0.0307,14.9737,0,1,141.5
189195,MANUAL,IDLE,0,170.0,125.2,1,16.34,14.02,1.33,28.65,44.00,0,44,44,100,100,0.8576,0.0307,14.9737,0,1,141.5
190195,MANUAL,IDLE,0,170.0,123.3,1,18.26,15.66,1.89,28.65,46.20,0,46,46,100,100,0.8576,0.0307,14.9737,0,1,141.5
191195,MANUAL,IDLE,0,170.0,121.3,1,20.26,17.37,2.51,29.07,48.95,0,49,49,100,100,0.8576,0.0307,14.9737,0,1,141.5
192195,MANUAL,IDLE,0,170.0,119.4,1,22.16,19.00,3.19,28.89,51.09,0,51,51,100,100,0.8576,0.0307,14.9737,0,1,141.5
193195,MANUAL,IDLE,0,170.0,117.4,1,24.12,20.69,3.93,29.05,53.67,0,54,54,100,100,0.8576,0.0307,14.9737,0,1,141.5
194195,MANUAL,IDLE,0,170.0,115.7,1,25.85,22.17,4.73,28.00,54.89,0,55,55,100,100,0.8576,0.0307,14.9737,0,1,141.5
195198,MANUAL,IDLE,0,170.0,114.1,1,55.94,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
196195,MANUAL,IDLE,0,170.0,112.5,1,57.53,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
